category,institution,quarter,quarter_end_date,stock_ticker,stock_company,action,value_change_usd_mn,pct_change,notes,timing_known
Core Smart Money,Berkshire Hathaway,Q1 2025,2025-03-31,AAPL,Apple,Held,,0,最大持仓 $66.6B (25.65%)，未减仓,披露日: 2025-05-15
Core Smart Money,Berkshire Hathaway,Q1 2025,2025-03-31,BAC,Bank of America,Held,,0,持仓 $26.4B，未有重大变动,披露日: 2025-05-15
Core Smart Money,Berkshire Hathaway,Q1 2025,2025-03-31,CVX,Chevron,Held,,0,持仓 $19.8B,披露日: 2025-05-15
Core Smart Money,Berkshire Hathaway,Q1 2025,2025-03-31,OXY,Occidental Petroleum,Held,,0,持续持有能源仓位,披露日: 2025-05-15
Core Smart Money,Berkshire Hathaway,Q2 2025,2025-06-30,AAPL,Apple,Reduced,-3500,-6.7,卖出2000万股至2.8亿股，仓位降至$57.45B,披露日: 2025-08-14
Core Smart Money,Berkshire Hathaway,Q2 2025,2025-06-30,BAC,Bank of America,Reduced,-1100,-4.2,卖出2630万股，仓位$28.64B,披露日: 2025-08-14
Core Smart Money,Berkshire Hathaway,Q2 2025,2025-06-30,CVX,Chevron,Added,,+2.9,加仓345万股，仓位$17.48B,披露日: 2025-08-14
Core Smart Money,Berkshire Hathaway,Q2 2025,2025-06-30,STZ,Constellation Brands,Added,,+11.6,加仓139万股，仓位$2.18B,披露日: 2025-08-14
Core Smart Money,Berkshire Hathaway,Q3 2025,2025-09-30,GOOGL,Alphabet Class A,Added,4300,,新/加仓1785万股，仓位增至$4.3B,披露日: 2025-11-14
Core Smart Money,Berkshire Hathaway,Q3 2025,2025-09-30,AAPL,Apple,Reduced,-9600,,再减4180万股，约96亿美元,披露日: 2025-11-14
Core Smart Money,Berkshire Hathaway,Q3 2025,2025-09-30,BAC,Bank of America,Reduced,-1800,,再减3720万股,披露日: 2025-11-14
Core Smart Money,Berkshire Hathaway,Q3 2025,2025-09-30,BYD,BYD Company,Exited,,-100,完全清仓中国电动车,披露日: 2025-11-14
Core Smart Money,Berkshire Hathaway,Q3 2025,2025-09-30,CB,Chubb,Added,,,加仓430万股,披露日: 2025-11-14
Core Smart Money,Berkshire Hathaway,Q3 2025,2025-09-30,DPZ,Domino's Pizza,Added,,,小幅加仓,披露日: 2025-11-14
Core Smart Money,Berkshire Hathaway,Q3 2025,2025-09-30,SIRI,Sirius XM,Added,,,小幅加仓,披露日: 2025-11-14
